,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
pom_c4,6.930425201103441e-29,1.0416129733879262e-30,1.262976255217133e-21,2.4764557108676476e-18,1.490754164365927e-17,1.1546719183791416e-20,1.4906042792389325e-18,2.5012984262044527e-18,2.4713503521269703e-18,3.3960414638110245e-24,2.3350217847939167e-19,1.3768958266029092e-28
soa_a1,1.615630185192174e-09,1.5306731437902954e-09,1.3069652027297707e-09,1.1616780870582488e-09,2.414505928527433e-09,4.7542263459376954e-09,6.338599867206085e-09,6.756161408105754e-09,4.878712989153655e-09,2.5035578055110363e-09,1.5269517872340543e-09,1.3942083043616549e-09
soa_a2,1.0448991671907493e-10,1.2101308843881498e-10,1.3530383757842657e-10,1.5976807377082736e-10,1.757534950908024e-10,1.3825521283372666e-10,1.0673056188847951e-10,7.80186609761202e-11,8.378336913139606e-11,8.477562402076089e-11,6.801719604210277e-11,9.017806640310155e-11
soa_a3,2.6814366699268177e-11,3.098409376289801e-11,4.735245182074799e-11,8.820318780911052e-11,1.460192244895353e-10,2.018244182888651e-10,3.009711091461753e-10,3.33758826132069e-10,2.472486937410423e-10,1.3509443563819445e-10,6.992691842233612e-11,3.0580628307408375e-11
soa_c1,4.9333585827593396e-11,2.6024219237918977e-11,1.683756259418523e-11,1.596678345094915e-11,4.011973045447981e-11,8.240101656564747e-11,9.796834871123039e-11,1.0700321878553964e-10,8.525909839240953e-11,2.09165115783172e-11,3.6648156731544645e-11,2.4240458598723258e-11
soa_c2,3.3327813707580145e-13,3.395163653257399e-13,2.670808994971463e-13,2.964455937670696e-13,2.314256371174078e-13,9.282386735339279e-14,6.242076490024437e-14,2.5082647954087142e-14,6.477862002233006e-14,1.5409524242553096e-13,3.1822271597328755e-13,2.529854581032054e-13
soa_c3,1.6015617651521374e-12,1.3145063379807476e-12,1.5221256330008592e-12,2.6525227327101053e-12,4.770362924122473e-12,5.830104194554098e-12,6.807665542396535e-12,7.821368552818342e-12,9.434472300617891e-12,2.902476653118824e-12,3.931852239624778e-12,8.702359579476626e-13
so4_a1,1.2950511774079132e-09,1.2609434607568915e-09,1.3954317701347918e-09,1.685567796450016e-09,2.6483528703380443e-09,3.8896734722015935e-09,4.6766230887840265e-09,4.922509511118278e-09,4.601502734402629e-09,2.5324589092434735e-09,1.6177591488641951e-09,1.219005230090886e-09
so4_a2,4.475252113333994e-11,5.971623195932807e-11,9.116453425495052e-11,1.4085078936521e-10,1.2880740918319589e-10,9.57440307591817e-11,6.440921407335765e-11,5.095856722703296e-11,5.516511553116388e-11,5.760435184409829e-11,4.338107303936134e-11,4.0988185068258076e-11
so4_a3,6.69994684732167e-11,1.0542983847061649e-10,1.757433643057027e-10,3.3772531993214727e-10,3.4219965749926473e-10,3.019549332794469e-10,3.4301111950796326e-10,3.8212275010884866e-10,4.264486541671886e-10,3.271030946105924e-10,2.1349880197085724e-10,8.661928813102904e-11
