,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
pom_c1,6.764034539858419e-15,3.9927261190754286e-15,4.056764774503169e-15,8.04603965783501e-15,5.7097106075543625e-15,2.8730406776382575e-15,1.6085770826037107e-15,2.4264038044410907e-15,1.819749151441962e-14,3.701571248950972e-15,2.0227985343050474e-15,3.4135516712807765e-15
pom_c3,4.6912089691391115e-15,4.0858010639350465e-15,2.3861881624131142e-15,2.3882858395069895e-15,1.3882591543416573e-15,1.205023799114805e-15,9.336867470990202e-16,1.5654887283351212e-15,5.48814923492574e-15,1.7186222266824501e-15,1.776727839831148e-15,2.274131844480238e-15
pom_c4,8.604796082166594e-20,6.558038469041282e-20,2.7510763784374996e-20,1.0279549571194069e-20,3.792955919505214e-21,2.1642740479955983e-21,1.0921621460603864e-21,1.3665227283354888e-20,1.6164819106708673e-19,6.084732831121829e-20,1.2986386650261614e-20,3.200315584175635e-20
soa_a1,2.9497031987096856e-13,3.1503358949303006e-13,4.81340173882211e-13,8.590200491036259e-13,7.46689006198703e-13,7.298257050786239e-13,5.505627420979153e-13,3.675626426488665e-13,4.2437215308673004e-13,2.93629595464473e-13,1.6796764988006446e-13,2.0080179110194135e-13
soa_a2,3.042678888248544e-14,4.1647441111026737e-14,6.574178457478472e-14,1.0066848342340368e-13,8.504013601163055e-14,8.539441262401734e-14,6.281054913378006e-14,3.412936640657775e-14,2.0863163491735212e-14,2.006796387865519e-14,1.718583093760287e-14,2.4769299973711675e-14
soa_a3,1.850159023382425e-13,1.7930784895064944e-13,1.9856588161920596e-13,2.3163941468076765e-13,2.3016888416917125e-13,2.390347848043456e-13,2.0366912637740514e-13,1.5236310748224097e-13,1.4905413600434236e-13,1.4091601962997607e-13,1.1417598908426002e-13,1.2669017581973946e-13
soa_c1,4.562496552979779e-14,3.344618690077211e-14,3.435735718279251e-14,4.7631671285137955e-14,2.0489937058252444e-14,1.0449072976228407e-14,3.7161300512483786e-15,4.9019041796038824e-15,1.6323387072906224e-14,5.321445527609568e-15,6.259074577803347e-15,2.4559129076641255e-14
soa_c2,2.192803340774906e-15,2.3186038270681672e-15,2.274281769311902e-15,2.404884085383148e-15,1.0454456505882919e-15,4.788801881860265e-16,2.311827404671455e-16,2.2620361610538873e-16,2.211567158729618e-16,2.8127650719578126e-16,4.0410128733599953e-16,1.3088096873506904e-15
soa_c3,2.353832901432363e-14,2.1866379150067838e-14,1.775271959601407e-14,1.7619193322208904e-14,7.988833593676296e-15,4.466053212198815e-15,1.6264486307578292e-15,2.628340905989489e-15,4.900596360733322e-15,2.4614362401065813e-15,5.240160010826309e-15,1.154653799060202e-14
so4_a1,9.86931092405996e-11,8.833633824423259e-11,8.696541403674374e-11,5.608405059809307e-11,2.530504278341894e-11,1.2327378701160185e-11,7.411181911221032e-12,9.349512483658451e-12,1.2980385863392563e-11,1.6551066073233756e-11,3.060463341086894e-11,7.413532288058633e-11
so4_a2,2.3036140703314167e-11,1.8805946383482208e-11,1.2672546172154409e-11,6.184325621050313e-12,3.0174181295944402e-12,1.843290060518643e-12,1.3340136287287585e-12,1.5527659453368203e-12,2.0052232443945606e-12,3.709010962943404e-12,9.729880963427195e-12,2.0694307378832377e-11
so4_a3,2.3478448352154402e-11,1.856234610464469e-11,1.4353405616840398e-11,7.55955627956828e-12,3.4954779955936877e-12,1.987084108368009e-12,1.3831462017388496e-12,1.5094442622903825e-12,1.8273939219465296e-12,2.8848447068685612e-12,6.8875794824452274e-12,1.6806377470257594e-11
so4_c1,1.1812945586997525e-11,1.015352298766592e-11,5.125975598846422e-12,1.301794501189224e-12,2.7538718918099225e-13,9.523479417182165e-14,3.205409841635504e-14,1.527724073548814e-13,4.4952672769056623e-13,5.368545777199862e-13,1.290706040310563e-12,8.185550327832747e-12
so4_c2,1.1306449483258763e-12,9.629361110569112e-13,5.294091445610938e-13,1.610047002404552e-13,4.2094196780594756e-14,1.3689049385408412e-14,5.998229511146964e-15,2.0856378757827705e-14,7.241391053415189e-14,1.166796151884364e-13,2.056857695232825e-13,7.843667664160503e-13
so4_c3,1.169762854288936e-12,9.164327283150975e-13,4.865219555352795e-13,1.431934133983362e-13,5.663576365159094e-14,2.1883338443737764e-14,6.453376312606958e-15,1.675792175111126e-14,3.8774044467792396e-14,5.527413786008892e-14,1.6309467611077405e-13,9.182513690392247e-13
dst_a1,1.3346867556475461e-13,1.9413402905631844e-13,2.368775748468055e-13,4.4962923900597473e-13,3.536039462539303e-13,3.388703163562101e-13,1.9251677888573043e-13,1.6452149972229213e-13,8.40683750912008e-13,2.396895344963096e-13,1.62349612377842e-13,1.198927702993416e-13
dst_a3,2.5211237177774626e-12,2.263907377536567e-12,2.4279369747332025e-12,4.712513365645599e-12,2.418353278049734e-12,2.6331298252912916e-12,1.792047521660678e-12,1.7280104213854286e-12,8.231101564226684e-12,4.642857712872095e-12,3.233354773160557e-12,2.8004358814531782e-12
dst_c1,7.808966147326846e-15,4.5194442399630955e-15,5.944592420311506e-15,2.924586909995065e-14,1.0670897352587153e-14,3.250445312891594e-15,2.445903138161595e-15,1.8098178171903475e-15,8.728958446899485e-14,3.0464524623802095e-15,2.3059591074733182e-15,4.091247485785892e-15
dst_c3,1.7454425762803566e-13,9.912564340316607e-14,7.388013134211266e-14,4.683403729936753e-13,9.885324438359266e-14,4.951395467679004e-14,2.890745233246825e-14,1.5340952520901535e-14,1.578331649404463e-12,4.545087654221451e-14,4.403380397398522e-14,9.60989642896648e-14
bc_a1,1.7902329331421704e-14,1.9025442503438177e-14,1.9891864034855128e-14,2.9834028449733305e-14,2.7861325985027718e-14,3.0259547309247764e-14,2.777428996156555e-14,2.7390033465043637e-14,5.193181361285923e-14,3.661231813057754e-14,1.7838961102571715e-14,1.2286181559704578e-14
bc_a3,8.545390991229838e-15,7.952452681558777e-15,6.315060067485067e-15,6.703014286338219e-15,6.634782394305096e-15,9.20699063863828e-15,8.638693364435793e-15,1.0315276498913065e-14,1.5068306167707532e-14,1.3608432177620537e-14,8.737941061898527e-15,6.154567652771111e-15
bc_a4,9.744272107411155e-15,9.713903435153246e-15,7.608331994209561e-15,1.889296146828992e-14,4.09290927972511e-14,8.14965973937147e-14,1.040346736709552e-13,1.0011576393213414e-13,7.340843563444568e-14,2.4862046693304232e-14,6.91069236544487e-15,4.4718414118438774e-15
bc_c1,1.056337647257035e-15,6.566427576615503e-16,6.794205324044025e-16,1.6695118916753562e-15,1.1193081941382878e-15,6.074670952383994e-16,2.81640969591117e-16,3.6990672607402103e-16,2.4627351651311958e-15,4.876955777054573e-16,3.1303719869316333e-16,5.156979046065332e-16
bc_c3,7.156755542501363e-16,6.981228081215406e-16,4.3169314736479195e-16,5.193220938900383e-16,2.3772842579506954e-16,2.3293625748663953e-16,1.272600564102786e-16,1.855272807983345e-16,6.218419855071337e-16,2.116397448451881e-16,2.660444989937644e-16,3.332030149942589e-16
bc_c4,2.1791454467837233e-20,1.7624913410664955e-20,8.669474012808712e-21,2.9656814009500286e-21,1.0295069507047417e-21,7.0933534511647675e-22,3.5905636452035977e-22,3.584743088656966e-21,3.3447542438244645e-20,1.1351683889400764e-20,3.4261223204706866e-21,7.648538458668642e-21
num_a1,48068732.0,47458012.0,56053668.0,49129756.0,43247060.0,33493722.0,28574212.0,23955586.0,20365628.0,18039470.0,25142582.0,47177224.0
