,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
dst_c1,8.535826667883939e-13,1.50132619010368e-12,7.493976793282453e-12,1.3969308348960041e-11,2.465612089497249e-11,1.4105657614171818e-11,8.983447666310873e-12,7.1681263355549696e-12,1.5042885340155188e-11,9.062516362345896e-12,1.7444537134259086e-11,2.569081666153883e-12
dst_c3,1.4197318667918957e-11,3.7683085818418505e-11,3.0292507391393997e-10,5.978570416509399e-10,1.089449086499883e-09,5.705867445193746e-10,3.2340055633461873e-10,2.2604895733024932e-10,4.108266782321124e-10,1.860562676148092e-10,2.6699550903508396e-10,2.662289486088376e-11
bc_a1,7.273713853450658e-10,7.695595272139144e-10,8.385858674131441e-10,9.35377664212922e-10,1.24793775313492e-09,1.23254395578698e-09,1.4792500557803123e-09,1.3754841710067467e-09,1.2435464880056202e-09,1.1828810153602376e-09,1.1665698407270497e-09,9.620484409111896e-10
bc_a3,1.1676006515803916e-11,2.2867900281720033e-11,3.937778922380453e-11,3.342561644137376e-11,4.07284136971775e-11,3.063988646134774e-11,4.020640417823351e-11,3.995737768436314e-11,3.3937845589360194e-11,1.9043997281920078e-11,2.3878756610917762e-11,1.5560429680872012e-11
bc_a4,4.397280872758813e-10,4.2452741322307475e-10,4.0592595951238764e-10,3.900351708274741e-10,3.39679062655307e-10,3.066011333707763e-10,2.935523768510251e-10,3.313253005288175e-10,3.9559694409163626e-10,5.451124551747455e-10,6.40635322568528e-10,5.757728738231549e-10
bc_c1,1.0610338562616617e-12,1.6478383327994672e-12,3.899559061076863e-12,5.11758994556355e-12,1.1529189061776357e-11,1.3906978867106456e-11,2.8869495335981377e-11,2.1244528705666177e-11,1.606841396051273e-11,4.685210119176331e-12,8.845450413796918e-12,2.512311539359935e-12
bc_c3,1.1545712302885036e-13,1.4596138154469168e-13,6.634566485606841e-13,1.137970577144709e-12,1.1684654979693399e-12,1.0947209935427415e-12,1.948841912499666e-12,1.923315456550667e-12,1.5356916042638669e-12,4.891218723448998e-13,1.0662193784122254e-12,1.4464254446955316e-13
bc_c4,1.5092548208755672e-35,6.513401714018536e-36,6.106548511615335e-35,4.58800375807523e-28,1.4760034031957486e-23,8.767845659363014e-18,7.24321116972365e-18,1.0444773198760128e-16,3.569105341281758e-17,1.2103477846552418e-28,3.266031496302062e-30,2.957236711728597e-35
num_a1,1635582208.0,1835174016.0,2062201216.0,2384321280.0,3116587264.0,3272251648.0,3666075136.0,3410361344.0,2949460992.0,2587076352.0,2396233216.0,2037725952.0
num_a2,1272948736.0,1504244480.0,1573237120.0,1370650752.0,1408684288.0,2454589184.0,2058074496.0,1802099200.0,1817336192.0,1377039104.0,1117102848.0,1138112640.0
num_a3,1024882.75,1542499.375,2681669.25,3756700.25,4151685.5,2532879.5,880185.0,1125153.25,1962867.375,3755591.25,3398127.25,1638804.875
num_a4,1238412800.0,1199967360.0,1160369792.0,1148163712.0,1023908288.0,917275328.0,841614336.0,946624640.0,1123769472.0,1530382976.0,1773395968.0,1603925760.0
num_c1,355451.5625,654128.125,2389763.75,4038580.0,7159354.5,8743855.0,15374465.0,10225545.0,11745919.0,3421331.0,3925843.0,753870.875
num_c2,6417.21533203125,10558.2021484375,40479.86328125,51119.7109375,56654.203125,65211.78125,91337.234375,46617.55859375,137164.84375,63601.828125,77959.5859375,7914.337890625
num_c3,583.93017578125,738.196044921875,3860.698974609375,6264.16064453125,13887.583984375,10665.865234375,14713.3857421875,9482.296875,9942.2158203125,4238.67236328125,9703.462890625,1611.4229736328125
num_c4,3.4533856764725515e-20,3.987301035072267e-20,1.4167919546511053e-18,1.0175392473055211e-10,2.456866241118405e-06,3.762287139892578,2.3104746341705322,45.61840057373047,46.99561309814453,3.24144682449512e-13,1.2221988320763964e-14,2.879515232464537e-19
wat_a1,8.753442970466097e-10,1.0745628831188014e-09,1.3976314550134816e-09,1.9547330420977005e-09,4.940283293564107e-09,8.31542745771685e-09,1.7662015849850832e-08,1.4011307669647977e-08,7.366897758487312e-09,2.0797259470128893e-09,2.3455317688103605e-09,1.1398748611668452e-09
wat_a2,3.197936360166409e-11,4.653251742259279e-11,4.9738633350893124e-11,4.497891295529577e-11,9.150891155940144e-11,1.751722378262599e-10,2.69726935231418e-10,2.2066982963142578e-10,1.584594677694895e-10,5.7726760871457117e-11,6.92506260668857e-11,4.2055754712055915e-11
wat_a3,9.42932953940101e-10,1.3844492219305948e-09,2.8060913592753423e-09,3.9842391608146954e-09,6.574531141723128e-09,5.450310869292707e-09,6.85699408364826e-09,6.066877666910386e-09,5.423809845694905e-09,3.3146665412431275e-09,3.0306033238503005e-09,1.1735765692577615e-09
wat_a4,9.362720372378281e-17,8.049132413353452e-17,8.419451247426092e-17,7.546724746856914e-17,1.354621543712278e-16,1.2667934915048677e-16,1.0089398540506116e-16,3.953995458152887e-17,6.301617416384125e-17,7.114549346577559e-17,1.4694544621160336e-16,7.992380544142924e-17
Q,0.0012814659858122468,0.0015783716225996614,0.0025070495903491974,0.003920823335647583,0.0068369060754776,0.011461067013442516,0.016640163958072662,0.01390979252755642,0.009070826694369316,0.004429718013852835,0.00301959365606308,0.001697419909760356
PS,96437.890625,96280.515625,95982.984375,95565.671875,94987.21875,94607.9140625,94634.4140625,95033.84375,95715.0546875,96237.796875,96376.9921875,96384.9453125
T,267.14385986328125,270.1688537597656,277.336181640625,286.3191833496094,292.93035888671875,297.3691711425781,300.0924377441406,298.1710510253906,292.4208068847656,285.1933288574219,277.8547668457031,270.56158447265625
dgnd_a01,1.1502757502057648e-07,1.1866107030300554e-07,1.2431966922576976e-07,1.2710975738627894e-07,1.276848990983126e-07,1.2143465255576302e-07,1.2319434006258234e-07,1.233743347484051e-07,1.223405377004383e-07,1.3194716075304314e-07,1.3312232738371677e-07,1.1889633100281571e-07
dgnd_a02,3.541737214618479e-08,3.5780946205932196e-08,3.6420082949462085e-08,3.6707799466739743e-08,3.812282045601023e-08,3.577059359827217e-08,3.842030693590459e-08,3.821710237161824e-08,3.7377347439360165e-08,3.743370413644698e-08,3.861929087634053e-08,3.728148811887877e-08
dgnd_a03,1.7201382433995605e-06,1.8800659518092289e-06,2.09635481951409e-06,2.130685516021913e-06,2.22330186261388e-06,2.1832497623108793e-06,2.047803263849346e-06,2.1744563127867877e-06,2.163385033782106e-06,1.958822167580365e-06,1.8152526308767847e-06,1.752537741595006e-06
dgnd_a04,9.754457863664356e-08,9.752869090107197e-08,9.751146023972979e-08,9.779498810758014e-08,9.785009780216569e-08,9.741057738210657e-08,9.740323747564616e-08,9.736134387594575e-08,9.755304120062647e-08,9.780217169463867e-08,9.8016592176009e-08,9.771924425194811e-08
